Run with kz = 5, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 5, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 6, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 6, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 7, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 7, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 8, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 8, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 9, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 9, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 10, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 10, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 11, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 11, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 12, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 12, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 13, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 13, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 14, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 14, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 0, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 1, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 1, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 2, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 2, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 3, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 3, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 4, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 4, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 5, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 5, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 6, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 6, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 7, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 7, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 8, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 8, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 9, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 9, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 10, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 10, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 11, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 11, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 12, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 12, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 13, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 13, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 14, critic_type: hybrid;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
Run with kz = 14, critic_type: separable;  dataset_type: gaussian_mixture; Saved to h5_results/testing_gaussian_mixture.h5
